,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,10.94136429,0.107158698,14.70933056,0.845912542,10.92481613,0.116779618,13.3732233,0.872633944,21.44294739,0.207011074,27.75211716,0.451503677,11.02828121,0.109936908,14.63964176,0.847369126,16.36518669,0.164569989,19.76835823,0.721693959,9.77383709,0.093660876,13.0872488,0.878022928,13.92888855,0.406756599,18.65728439,0.752098961,13.12565,0.134257,17.4777,0.78245,12.72110408,0.441629736,22.49453436,0.639640895,6.048547745,0.054453291,10.24302959,0.925279752
1,11.01964855,0.107787736,14.81616306,0.844252845,15.39481831,0.145636156,20.21192741,0.710156126,11.62237358,0.117670849,16.14363098,0.815093949,10.52309704,0.095971674,15.27020741,0.834560778,8.950407982,0.083346449,13.49178123,0.870852131,8.133637428,0.077024929,11.60657787,0.904422206,14.8364728,0.406747388,19.20312215,0.738367112,14.41704655,0.14962706,18.78462982,0.749646346,12.7837026,0.435416684,19.29864257,0.735757803,8.133566856,0.075289093,11.76510143,0.901793551
2,11.06965637,0.107978605,14.90792656,0.842929348,14.97773933,0.135783404,21.14950562,0.683873432,15.91038322,0.148380235,26.69960976,0.496185835,10.44431305,0.096498065,14.93171787,0.842427617,10.68366528,0.098301239,15.64623451,0.826986392,11.86898232,0.119449027,15.12342834,0.838355445,14.22292345,0.406025504,18.85503082,0.748744797,24.20857239,0.269260973,26.76218224,0.493821595,13.36748833,0.383790276,17.71655497,0.778170591,7.099525452,0.066008076,12.46092319,0.890260996
3,11.18473721,0.109259814,14.97383308,0.842846136,13.20963383,0.13215594,15.66223335,0.828064142,9.626485825,0.099003129,13.02041626,0.881174722,11.1051712,0.106440626,14.76189137,0.847263403,9.59896183,0.094578169,12.73139572,0.886391421,19.43118668,0.193550318,23.69561958,0.606454309,14.4861302,0.406303681,20.56435218,0.703592544,13.62379456,0.144244045,18.04243088,0.771834943,9.741437926,0.366262529,17.27033555,0.790944976,8.407405853,0.084872782,12.12974072,0.896875456
4,11.15085793,0.108836308,14.97909737,0.841938851,10.54886818,0.104379736,16.10123444,0.817369933,11.42882252,0.114203252,18.22369766,0.766047943,10.47663307,0.10050597,14.31292152,0.855685343,11.78643417,0.12752445,15.59107018,0.828759787,13.79446697,0.143915638,18.43037605,0.760711256,15.59617076,0.405828933,21.50851152,0.674107347,16.23472214,0.174973547,20.00951385,0.717949449,11.43136921,0.413010158,16.5023372,0.808157524,7.005764961,0.067468092,12.12579441,0.896420383
5,11.13065434,0.108538099,14.97771358,0.841992582,10.91218662,0.101916842,19.02856636,0.744965718,6.852784157,0.072009288,12.41570473,0.891425154,10.46129608,0.100332528,14.28191471,0.85633227,7.135560036,0.068757445,12.31698704,0.89314487,21.10150909,0.23665601,23.70910835,0.604071431,14.76176873,0.403795804,19.88633434,0.721454665,14.30600739,0.145451576,18.54680061,0.757716191,9.130242124,0.39114067,14.74454752,0.846873867,6.691757202,0.062383339,11.06585884,0.913750475
6,10.87663841,0.10651768,14.59248161,0.848630788,17.70852852,0.199374631,23.81120491,0.596965749,10.49400711,0.118474297,13.65167236,0.867519804,10.79975033,0.103128664,14.76487637,0.845033128,12.77239895,0.128800049,15.50576878,0.829090639,12.72642517,0.13190861,15.95012188,0.819154685,15.87833572,0.399381259,21.44465504,0.673098155,13.13653851,0.129382923,17.05839729,0.793149938,13.70080166,0.405462559,21.73069197,0.664319314,6.255260944,0.068121873,8.441029549,0.949351094
7,11.07959938,0.108390331,14.9068327,0.843328545,13.99810696,0.131630063,19.17156029,0.74086024,13.53074265,0.143773556,17.48715019,0.7843958,11.0117588,0.109739803,14.84184837,0.844691549,13.67706871,0.12285243,19.78306389,0.724065355,22.97831345,0.249145806,25.70218849,0.534243045,14.620164,0.40388839,19.26547276,0.738315232,20.92944908,0.230057567,24.501791,0.576732647,11.20731758,0.423579824,16.72153672,0.802861487,7.313220501,0.071891911,12.01364803,0.898241914
8,11.0812254,0.108057633,14.92726994,0.843557543,24.28482056,0.28537485,27.40577316,0.472675508,10.44852638,0.10273701,14.42230988,0.853962809,10.7514267,0.095166005,15.62255764,0.828644496,8.8326931,0.079469867,13.99306679,0.862526286,13.71262455,0.140636533,18.45275116,0.76093493,14.17566515,0.409616768,19.23809459,0.740152869,12.0764246,0.126408726,15.67347527,0.827525705,12.57181848,0.379260296,16.92348221,0.798917964,6.877845764,0.059484638,11.60094738,0.905511104
9,11.0459919,0.10769321,14.87360477,0.843372634,21.48239517,0.212854713,29.8638649,0.368567038,10.67288208,0.093913972,15.20539474,0.836306809,10.8319006,0.103135616,14.75738811,0.845810705,8.007052422,0.079081908,11.24561596,0.910463168,24.75928116,0.204523742,40.59922028,-0.166999356,15.34758037,0.403441028,22.48951162,0.641907477,18.53613091,0.204934731,21.94425774,0.659060758,13.74454336,0.383823631,18.05771676,0.769133522,7.101430416,0.064065441,10.69647312,0.918994153
