,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,25.26455498,0.184788704,27.96941376,0.493600949,15.28805542,0.127543882,17.84622574,0.79383307,19.8274765,0.134304985,26.24433517,0.55414116,12.56411839,0.088183917,15.49996185,0.844479562,26.89537048,0.203853488,28.92458916,0.45842248,14.60700607,0.108343847,17.44964981,0.802894093,21.40614863,0.314836875,24.62428883,0.607487411,23.85818863,0.165752351,28.36234665,0.479272524,4.853260517,0.03739908,7.099002361,0.967377232
1,24.98941803,0.183317378,27.71124077,0.506556569,20.98027611,0.153169379,30.26128006,0.411562965,24.79148865,0.195005521,30.18052292,0.414699429,10.71148205,0.076017193,13.56261539,0.881801407,10.64277267,0.084686846,13.08436871,0.889990297,28.0482769,0.208155081,33.54146194,0.277081382,25.31705663,0.324144683,30.36395692,0.407563037,22.81993484,0.160949439,27.09456635,0.528273949,5.757555485,0.049427636,7.05350256,0.968030556
2,25.08812523,0.184012294,27.78046227,0.506137095,22.18564224,0.163116828,30.53324699,0.403413356,19.42676735,0.158153981,23.81843758,0.636960376,10.87517452,0.077108972,13.68647957,0.880129851,13.47676659,0.113125086,15.17056179,0.852724404,24.74593925,0.199141368,29.70731163,0.435252647,22.20280434,0.314919402,26.64771292,0.545590525,20.93517303,0.142274618,26.00892448,0.567115248,4.621754169,0.037682686,6.58023119,0.972291705
3,25.30639648,0.185508206,27.99705696,0.497409904,9.080068588,0.074295834,11.45258904,0.915899885,20.01074791,0.158272624,22.4895134,0.675698219,10.98480988,0.078052618,13.78429794,0.878168809,11.60078621,0.097473085,12.80211926,0.894912044,27.54976845,0.216843128,29.2663765,0.450804365,23.20815436,0.312314856,29.72529152,0.433445828,24.61987686,0.180317298,27.0789299,0.529832944,5.658983707,0.043663919,7.534514904,0.963600133
4,25.29135513,0.185751483,27.93661118,0.495403065,10.39807796,0.074228309,14.19497681,0.869723353,9.37348938,0.072042622,12.15356636,0.904499723,11.19956684,0.079953849,13.88870144,0.875284508,7.855081081,0.060968582,10.76625252,0.925057824,11.37363815,0.078842126,16.93705177,0.81453037,22.10305242,0.317156889,25.45634216,0.581023993,23.94528389,0.169627115,27.63928223,0.506086802,7.459768295,0.062913895,8.85844326,0.94926449
5,25.29408264,0.18528977,27.98364258,0.498921026,23.29204178,0.193234965,30.07890129,0.421075895,11.47969723,0.099753641,13.7066431,0.879784653,11.73063946,0.08294557,14.4718895,0.865986632,18.2052536,0.120847218,24.67983246,0.610253643,37.37387085,0.289636582,40.22652817,-0.035434956,21.60219612,0.315626039,25.18991695,0.593976525,24.09296799,0.171185419,27.6116333,0.512155008,5.128139973,0.0400116,6.819694519,0.97024037
6,25.26371193,0.185113862,27.93737602,0.499306102,32.76997757,0.235805124,40.84950638,-0.070470545,20.18441963,0.181337714,22.94625854,0.66222712,12.71756268,0.091216929,15.15755367,0.852612967,12.44773579,0.094291173,16.14565277,0.832770718,11.50503445,0.078971155,16.58276176,0.823593419,23.08668532,0.324715604,26.32575909,0.555406749,24.71632957,0.184297442,26.66148186,0.543995024,6.59187746,0.053030271,8.22270298,0.956625919
7,25.22503281,0.184809238,27.95797348,0.502939668,24.23987389,0.203292087,34.5536499,0.240748572,17.68640137,0.124611877,21.15058136,0.715526151,11.26562405,0.079964809,14.05062675,0.874457962,20.69465256,0.146268129,24.32868385,0.623612696,23.04676819,0.188276082,24.93487358,0.604622318,21.64572866,0.313251805,25.97245623,0.571033065,24.67051506,0.176945254,27.88055611,0.505688602,7.463964939,0.057697184,8.947856903,0.949086162
8,25.14116478,0.183972374,27.87752342,0.504206175,23.72668266,0.217556119,26.97422218,0.535815543,22.76896477,0.227465257,27.70918655,0.510175715,11.24157333,0.080366775,13.92566872,0.876284277,18.89635468,0.167355418,20.4598732,0.732946257,23.74786186,0.201625884,26.75937271,0.543180555,22.52564219,0.319858158,25.84380631,0.573905705,22.41073608,0.153286293,27.64601517,0.51240654,5.840638638,0.049846716,7.374312401,0.965307479
9,25.03287506,0.183522224,27.77884674,0.507252437,15.19650459,0.137800887,17.44675064,0.805631819,16.56285477,0.167980313,21.43275642,0.706672948,10.7077322,0.076157339,13.4983902,0.883651716,9.136270523,0.0711926,11.80639076,0.910991729,20.08298111,0.162521243,22.93595886,0.664084678,21.22003817,0.31508002,25.1521022,0.59603418,23.72342682,0.163811535,28.51484299,0.480796013,6.110712528,0.053676315,7.464604378,0.964419691
