,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,0.070951737,0.045152109,0.088047065,0.877052876,0.131471783,0.084252946,0.160657451,0.59065424,0.090784542,0.059924718,0.113891929,0.794280934,0.079801269,0.052989449,0.092752814,0.863559673,0.068327807,0.04643558,0.081529841,0.89458031,0.066511296,0.045156285,0.079089306,0.900797153,0.052611221,0.173692878,0.076662592,0.906791485,0.075649932,0.049143076,0.086543575,0.881215922,0.046438351,0.030178644,0.054728694,0.952497253
1,0.070574135,0.045271248,0.087825231,0.87562671,0.070247173,0.047715988,0.10272067,0.829860876,0.14189896,0.095414892,0.161228642,0.580846677,0.060186692,0.039760619,0.072906241,0.914292678,0.059816543,0.040439844,0.072157376,0.916044334,0.057611071,0.038780782,0.0704991,0.919858847,0.08693871,0.168824391,0.13621529,0.700814721,0.101309434,0.062700287,0.140919864,0.679791427,0.053993333,0.035390574,0.067081161,0.92744127
2,0.070983231,0.045380455,0.087872684,0.875447049,0.067101687,0.04192654,0.091212124,0.865800345,0.221717015,0.145803228,0.236403227,0.098526222,0.058739498,0.03850184,0.070809335,0.919122563,0.058628999,0.039516024,0.069547921,0.921978439,0.059077531,0.039866176,0.070148341,0.920625476,0.069290919,0.169005855,0.106882538,0.815727806,0.070734337,0.040782582,0.116751708,0.780126554,0.04984396,0.03312961,0.060999807,0.939978999
3,0.071347252,0.04560988,0.088839948,0.873764466,0.202095374,0.130269304,0.277059287,-0.227751442,0.207957983,0.130164534,0.258670449,-0.070184406,0.073249951,0.047874797,0.087085888,0.878700061,0.070767954,0.047768451,0.085274331,0.883694114,0.066884071,0.044428498,0.081796125,0.892988484,0.05820126,0.173785684,0.096275475,0.851749428,0.059766538,0.035800301,0.087240577,0.878268751,0.053485844,0.035194904,0.063711032,0.935077631
4,0.07119786,0.045247532,0.088449895,0.875928351,0.104041189,0.063902579,0.152599275,0.630696934,0.150420412,0.095585868,0.168207601,0.551286512,0.059741307,0.040406812,0.078468286,0.902351333,0.068580233,0.046341415,0.079703838,0.899251999,0.064790651,0.043706853,0.075332224,0.910000628,0.098717462,0.167202543,0.138668754,0.695045405,0.052873045,0.031774182,0.076169111,0.907989863,0.04539163,0.02922678,0.054763511,0.952437959
5,0.070532367,0.045178104,0.087274857,0.877536646,0.101594016,0.060608421,0.154735461,0.615047133,0.230436683,0.14914991,0.282212019,-0.280497895,0.058095727,0.038618166,0.071627624,0.917512343,0.067685306,0.046095274,0.081344225,0.893614781,0.062881224,0.04261639,0.076076448,0.906947435,0.066237231,0.174928473,0.104159048,0.825569721,0.05661425,0.035249881,0.074902318,0.909797542,0.063121289,0.041072905,0.073554188,0.913015339
6,0.072241932,0.046010498,0.089115374,0.874691049,0.106000088,0.065010406,0.130189747,0.73255756,0.079129286,0.050496884,0.096033193,0.854481048,0.061269797,0.0414473,0.080186933,0.89854253,0.05833615,0.038708597,0.069202133,0.924435848,0.061767094,0.041322369,0.071452953,0.919440427,0.056415373,0.173927663,0.080046503,0.898897577,0.057921391,0.035620995,0.090687841,0.870229792,0.055888928,0.035834156,0.067394055,0.928332859
7,0.071830839,0.045803785,0.088936836,0.874605232,0.201330259,0.123422794,0.287594348,-0.311223626,0.094259165,0.065039098,0.113869324,0.794444303,0.062481958,0.041919306,0.081222877,0.895414197,0.062063873,0.04155571,0.071134351,0.919781453,0.060805839,0.04042986,0.069852814,0.922645808,0.074557488,0.166881463,0.105988739,0.82191165,0.064904191,0.03995306,0.080281019,0.897825664,0.051706932,0.03359339,0.059749253,0.943404617
8,0.071493365,0.045814659,0.088260196,0.876605168,0.096061058,0.059387662,0.146532312,0.659878551,0.163110897,0.108774811,0.180422723,0.484356299,0.058962386,0.038759746,0.071120761,0.919876494,0.058583066,0.039705325,0.070138425,0.922074563,0.058895197,0.039892953,0.070271976,0.921777537,0.070481071,0.170414612,0.109194925,0.811126044,0.080166645,0.048372358,0.116653368,0.784443197,0.051631354,0.034246203,0.062063307,0.938984949
9,0.071436442,0.045381144,0.088512227,0.873156863,0.166496202,0.101163946,0.250115752,-0.012843948,0.236357033,0.152898654,0.252423763,-0.031622554,0.09179756,0.05963102,0.103046834,0.828078691,0.082173146,0.055932514,0.099376306,0.840108229,0.075700223,0.051271547,0.090938501,0.866107581,0.092922588,0.162240717,0.130185565,0.725598767,0.067071766,0.044746108,0.093227223,0.859283219,0.062430412,0.041148033,0.071874611,0.916360499
