,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,0.155247197,0.112495542,0.190537021,0.410408604,0.126164943,0.081091486,0.154981256,0.609922645,0.215835273,0.135421008,0.256943703,-0.072181634,0.1031425,0.066332176,0.127275974,0.736921579,0.124641418,0.080692366,0.135037556,0.703856941,0.14087604,0.09032438,0.15202558,0.624659247,0.121568168,0.173923568,0.13765928,0.69224624,0.111070745,0.08048676,0.150895506,0.630218654,0.094610919,0.195206479,0.121720871,0.76101881,0.056593392,0.038398489,0.069548644,0.92144574
1,0.158214077,0.114719443,0.192920536,0.39314727,0.04638949,0.030355295,0.061713845,0.937900008,0.084108889,0.053301003,0.10352467,0.82525124,0.097283065,0.064187929,0.12435434,0.747856197,0.10784854,0.070672318,0.118869618,0.769607632,0.127650991,0.082548901,0.139133289,0.684362563,0.100462657,0.169258672,0.124862307,0.745792068,0.1606161,0.109009296,0.17679356,0.490364989,0.146230456,0.18747649,0.159113664,0.589927146,0.062065646,0.040861927,0.070969082,0.91787701
2,0.156198531,0.113159232,0.191231832,0.403611137,0.140395597,0.088541739,0.180711076,0.467427524,0.137301862,0.088804394,0.155130714,0.60753157,0.099761203,0.064597368,0.124632202,0.746679868,0.117923349,0.076744556,0.128776073,0.729554643,0.130339354,0.084104173,0.141915038,0.671552475,0.117360213,0.173394078,0.134760255,0.703835633,0.180915341,0.121223502,0.200832784,0.342223446,0.100785944,0.192706976,0.128978661,0.730542762,0.05633017,0.037968241,0.071134478,0.917478054
3,0.154085815,0.111154787,0.187709764,0.413139147,0.108440571,0.06849093,0.135598376,0.693754034,0.171423271,0.117146268,0.195050448,0.36634146,0.100640774,0.063897721,0.1233522,0.746571636,0.129967555,0.083730616,0.140124694,0.6729676,0.150197193,0.095966607,0.161957905,0.563116434,0.087297018,0.165776533,0.112086131,0.790750146,0.10829854,0.075789616,0.124431774,0.742116228,0.111931145,0.191679164,0.134989647,0.698668871,0.058337338,0.039502643,0.069000669,0.920700951
4,0.154653803,0.112139806,0.189331248,0.405302366,0.113769434,0.071254037,0.141706556,0.666856378,0.089499779,0.056066234,0.110974535,0.795685936,0.084777251,0.058018971,0.118682198,0.766319329,0.08224526,0.057296559,0.100916773,0.831042176,0.104883969,0.068968765,0.116992012,0.772927774,0.091612421,0.167361371,0.115595394,0.778316855,0.149119183,0.102255218,0.165992647,0.542880963,0.102246924,0.194986169,0.137981911,0.686267977,0.058402628,0.03786115,0.070666745,0.917152042
5,0.158630893,0.114826053,0.194120362,0.381238795,0.064683743,0.043477569,0.07474266,0.908268609,0.113269709,0.069249295,0.138041183,0.687105257,0.113664031,0.073781714,0.13546671,0.698667448,0.121516548,0.079295591,0.132346749,0.712387699,0.131177723,0.084056407,0.143406063,0.662311841,0.099269193,0.167695401,0.124496587,0.745495329,0.184101596,0.12325649,0.206833497,0.297538344,0.09535181,0.197117816,0.119241438,0.768167987,0.04857279,0.033888232,0.061380032,0.938136408
6,0.159889653,0.115849048,0.194007441,0.379687408,0.088308863,0.057772789,0.118176676,0.769836046,0.220931619,0.141968399,0.246355623,-0.000227402,0.106591485,0.073956601,0.138983816,0.681651903,0.09298218,0.062673919,0.105499521,0.816568127,0.126056209,0.081567414,0.136976063,0.69078316,0.106302516,0.167864738,0.129660287,0.722931131,0.162021205,0.110683054,0.182038143,0.453866808,0.09351082,0.199987253,0.11985159,0.764823086,0.070901826,0.046793539,0.077846028,0.900127322
7,0.152647242,0.110809207,0.188022405,0.406675375,0.243377075,0.15106225,0.307227373,-0.584138001,0.241183609,0.153151467,0.304984361,-0.561091251,0.142705128,0.105124339,0.182759225,0.43942747,0.090521477,0.067036383,0.133701965,0.699980978,0.074720688,0.057028096,0.119729288,0.759412007,0.091461064,0.167430283,0.114709299,0.779163712,0.201695248,0.136215046,0.222799763,0.166889435,0.097592913,0.202134872,0.127085616,0.73081369,0.046021428,0.028722651,0.057640962,0.94423835
8,0.154348254,0.11168883,0.18851079,0.421162421,0.179339439,0.117346101,0.208092093,0.294665057,0.105416872,0.067076445,0.128180623,0.732373584,0.100082114,0.063391313,0.12518838,0.744722595,0.111000158,0.072266124,0.122643933,0.754994219,0.154388085,0.097790718,0.166455552,0.548683881,0.096632914,0.167990005,0.119908598,0.765801074,0.152923182,0.1008747,0.171830073,0.519069165,0.085926621,0.192830963,0.124675173,0.748544407,0.065641046,0.045289461,0.077503182,0.902158432
9,0.154268369,0.111467749,0.188444108,0.411844571,0.098646246,0.059992701,0.131767154,0.712431489,0.235303551,0.145221382,0.31211856,-0.613489742,0.108988814,0.069066845,0.130346105,0.718600618,0.109797046,0.071745113,0.121391408,0.755936466,0.120387621,0.077524818,0.132824466,0.707797972,0.092339129,0.165251825,0.115709332,0.778249939,0.094015442,0.062272526,0.105159894,0.816841431,0.108088135,0.208156506,0.136171604,0.695068627,0.063177139,0.041509259,0.074129716,0.908985284
